DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
11/4/2016,666.93,668.99,665.08,666.73,0
11/7/2016,667.12,674.36,666.61,674.14,0
11/8/2016,675.82,677.91,674.33,676.46,0
11/9/2016,675.57,675.57,656.68,670.26,0
11/10/2016,675.36,678.57,675.18,678.17,0
11/11/2016,678.38,679.56,676.73,679.2,0
11/14/2016,677.13,679.96,672.45,673.05,0
11/15/2016,673.75,675.73,671.55,674.26,0
11/16/2016,674.85,676.9,673.95,674.6,0
11/17/2016,674.5,676.48,673.13,674.57,0
11/18/2016,673.82,675.15,669.18,673.25,0
11/21/2016,673.2,675.04,671.65,674.29,0
11/22/2016,675.23,681.91,675.23,681.91,0
11/23/2016,681.17,684.12,679.81,683.16,0
11/24/2016,683.61,683.61,676.39,678.18,0
11/25/2016,678.47,678.87,671.48,675.87,0
11/28/2016,672.38,673.18,660.96,665.29,0
11/29/2016,665.11,667.79,658.26,658.26,0
11/30/2016,658.44,665.78,654.99,665.07,0
12/1/2016,670.75,670.81,666.54,666.54,0
12/2/2016,667.02,667.39,662.09,665.14,0
12/5/2016,663.06,663.87,658.11,660.21,0
12/6/2016,660.68,660.77,648.37,651.49,0
12/7/2016,648.63,654.13,647.33,653.53,0
12/8/2016,655.48,660.72,655.48,658.89,0
12/9/2016,659.46,664.46,659.46,663.07,0
12/12/2016,663.7,664.67,658.84,659.7,0
12/13/2016,662.27,663.54,654.34,654.66,0
12/14/2016,657.39,665.14,657.39,665.14,0
12/15/2016,668.07,668.07,664.08,665.92,0
12/16/2016,670.43,675.19,668.3,675.16,0
12/19/2016,673.98,679.9,673.88,674.33,0
12/20/2016,673.93,674.28,662.66,662.66,99998601
12/21/2016,662.36,667.06,657.4,666.94,0
12/22/2016,669.01,669.95,663.7,664.15,0
12/23/2016,663.75,664.37,659.18,664.37,0
12/26/2016,665.67,665.73,662.09,662.45,0
12/27/2016,662.66,665.5,661.41,663.86,0
12/28/2016,665.9,666.64,661.8,663.5,0
12/29/2016,666.43,666.43,663.95,664.72,0
12/30/2016,664.17,665.49,663.39,664.87,0
1/3/2017,665.92,672.34,665.43,672.01,0
1/4/2017,672.58,675.93,672.21,674.7,0
1/5/2017,674.82,675.92,673.31,675.81,0
1/6/2017,675.35,683.76,675.22,679.8,0
1/9/2017,681.74,684.88,681.74,682.57,0
